,Unnamed: 0,LM 17130 LM 17500,LM 26500,LM 33600,M 52 Ex SV,M 20 Ex SV,Unnamed: 1
0,Cell size,1/3 A A,C,D,C,D,
1,Cell construction,Spiral Spiral,Spiral,Spiral,Spiral,Spiral,
2,Nominal voltage,3.0 V 3.0 V,3.0 V,3.0 V,3.0 V,3.0 V,
3,Nominal capacity,0.5 Ah 3.0 Ah,7.4 Ah,13.4 Ah,5.6 Ah,12.4 Ah,
4,Max. continuous current,0.3 A 1.5 A,2.0 A,4.0 A,2.0 A,3.5 A,
5,Max. pulse discharge rate,0.4 A 2.0 A,4.0 A,8.0 A,4.0 A,8.0 A,
6,Max. outside diameter,16.7 mm 17.5 mm,26.0 mm,33.7 mm,26.2 mm,34.2 mm,The EX-range provides a high
7,energy density and are certified Max. height,16.33 mm 51.5 mm,51.5 mm,61.3 mm,51.5 mm,61.5 mm,
8,,,,,,,according to ATEX/IECEx by an
9,Typical weight,8 g 28 g,61 g,113 g,58 g,115 g,
10,,,,,,,independent certification body.
11,Operating temperature range,- 40 / + 70°C - 40 / + 85°C,- 40 / + 85°C,- 40 / + 85°C,- 40 / + 72°C,- 40 / + 72°C,
