,Unnamed: 0,G 06/6,G 36/2,G 52/3,G 54/3,G 26/2,G 22/6,G 62/1
0,Cell size,AA,Long A,C,5/4 C,D,DD,Long fat DD
1,Cell construction,Spiral,Spiral,Spiral,Spiral,Spiral,Spiral,Spiral
2,Nominal voltage,2.8 V,2.8 V,2.8 V,2.8 V,2.8 V,2.8 V,2.8 V
3,Nominal capacity,0.95 Ah,1.7 Ah,3.2 Ah,5.0 Ah,7.75 Ah,16.5 Ah,34.0 Ah
4,Max. continuous current,0.5 A,1.5 A,2.5 A,2.5 A,2.5 A,3.0 A,8.0 A
5,Max. pulse discharge rate,0.8 A,2.5 A,5.0 A,5.0 A,5.0 A,10.0 A,12.0 A
6,Max. outside diameter,14.2 mm,16.3 mm,25.6 mm,25.6 mm,34.5 mm,33.3 mm,41.7 mm
7,Max. height,50.3 mm,57.7 mm,49.5 mm,60.2 mm,59.8 mm,120.6 mm,141.0 mm
8,Typical weight,15 g,18 g,47 g,58 g,85 g,175 g,300 g
9,Operating temperature range,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C,- 60 / + 70°C
